Número,Aberto,Resolvido,Encerrado,Prioridade,Categoria,Subcategoria,Produto,Item de configuração,Grupo designado,Aberto por,Entrou para KPI?,KPI Violado?,Código de fechamento,Solução,Duração
INC100000,2025-01-01 01:14:00,2025-01-01 04:36:57.885327588,2025-01-01 06:56:57.885327588,4 - Baixa,Aplicação,Sub B,lhco,CI-5,SRE,Monitoramento,NAO,NAO,Manutenção Programada,Reinício de serviço,12177.885327586679
INC100001,2025-01-01 02:08:00,2025-01-01 04:07:38.070918408,2025-01-01 05:14:38.070918408,3 - Média,Banco de Dados,Sub A,lcem,CI-179,SRE,Monitoramento,SIM,NAO,Falha de Aplicação,Patch aplicado,7178.070918409957
INC100002,2025-01-01 02:23:00,2025-01-01 02:30:32.787162486,2025-01-01 05:27:32.787162486,4 - Baixa,Aplicação,Sub B,lsin,CI-102,NOC N2,Manual,NAO,SIM,Falha de Rede,Reinício de serviço,452.7871624849257
INC100003,2025-01-01 02:24:00,2025-01-01 06:03:47.092000920,2025-01-01 09:35:47.092000920,4 - Baixa,Banco de Dados,Sub C,lsin,CI-201,SRE,Monitoramento,NAO,NAO,Falha de Rede,Patch aplicado,13187.092000922461
INC100004,2025-01-01 02:28:00,2025-01-01 04:50:23.966444034,2025-01-01 05:30:23.966444034,4 - Baixa,Rede,Sub C,lrev,CI-148,NOC N2,Monitoramento,NAO,NAO,Falha de Rede,Reinício de serviço,8543.966444035452
INC100005,2025-01-01 03:56:00,2025-01-01 04:36:45.776172336,2025-01-01 05:06:45.776172336,3 - Média,Infraestrutura,Sub B,lhco,CI-275,NOC N1,Monitoramento,SIM,NAO,Falha de Aplicação,Ajuste de configuração,2445.7761723336635
INC100006,2025-01-01 05:23:00,2025-01-01 06:35:35.712324732,2025-01-01 09:12:35.712324732,2 - Alta,Aplicação,Sub B,lhvp,CI-115,SRE,Monitoramento,SIM,NAO,Falha de Rede,Reinício de serviço,4355.7123247293075
INC100007,2025-01-01 08:02:00,2025-01-01 09:49:33.738485922,2025-01-01 13:20:33.738485922,3 - Média,Infraestrutura,Sub A,lsin,CI-195,NOC N1,Manual,SIM,NAO,Erro de Configuração,Ajuste de configuração,6453.738485921553
INC100008,2025-01-01 14:29:00,2025-01-01 14:55:03.585043314,2025-01-01 15:29:03.585043314,4 - Baixa,Infraestrutura,Sub C,lrev,CI-263,SRE,Monitoramento,NAO,NAO,Manutenção Programada,Patch aplicado,1563.5850433133721
INC100009,2025-01-01 16:28:00,2025-01-01 18:06:41.433312912,2025-01-01 19:33:41.433312912,3 - Média,Banco de Dados,Sub B,lsin,CI-230,Suporte N3,Monitoramento,SIM,NAO,Falha de Rede,Reinício de serviço,5921.433312911563
INC100010,2025-01-01 17:29:00,2025-01-02 02:59:16.450987044,2025-01-02 03:26:16.450987044,3 - Média,Infraestrutura,Sub B,lhco,CI-147,NOC N2,Manual,SIM,NAO,Falha de Aplicação,Ajuste de configuração,34216.4509870463
INC100011,2025-01-01 18:04:00,2025-01-01 19:35:19.714059294,2025-01-01 20:02:19.714059294,3 - Média,Banco de Dados,Sub A,lrev,CI-313,NOC N2,Monitoramento,SIM,NAO,Manutenção Programada,Reinício de serviço,5479.714059293443
INC100012,2025-01-01 20:04:00,2025-01-01 22:31:51.225118812,2025-01-02 00:05:51.225118812,3 - Média,Aplicação,Sub C,lsin,CI-25,Suporte N3,Monitoramento,SIM,NAO,Erro de Configuração,Reinício de serviço,8871.225118813618
INC100013,2025-01-01 22:57:00,2025-01-02 01:01:35.316955350,2025-01-02 02:15:35.316955350,4 - Baixa,Infraestrutura,Sub A,lsin,CI-134,NOC N2,Monitoramento,NAO,NAO,Falha de Rede,Reinício de serviço,7475.316955351387
INC100014,2025-01-02 00:03:00,2025-01-02 00:29:09.476303598,2025-01-02 03:40:09.476303598,3 - Média,Aplicação,Sub A,lhvp,CI-267,SRE,Monitoramento,SIM,NAO,Manutenção Programada,Patch aplicado,1569.4763035979008
INC100015,2025-01-02 06:43:00,2025-01-02 09:13:57.406570350,2025-01-02 09:36:57.406570350,4 - Baixa,Infraestrutura,Sub B,lsin,CI-205,NOC N1,Monitoramento,NAO,NAO,Falha de Aplicação,Ajuste de configuração,9057.406570347272
INC100016,2025-01-02 07:02:00,2025-01-02 07:10:29.770310106,2025-01-02 08:44:29.770310106,4 - Baixa,Aplicação,Sub B,lsin,CI-238,NOC N2,Monitoramento,NAO,NAO,Erro de Configuração,Ajuste de configuração,509.7703101081654
INC100017,2025-01-02 07:34:00,2025-01-02 07:50:05.082258666,2025-01-02 09:39:05.082258666,3 - Média,Aplicação,Sub B,lsin,CI-327,SRE,Manual,SIM,NAO,Erro de Configuração,Patch aplicado,965.0822586657289
INC100018,2025-01-02 07:47:00,2025-01-02 09:26:59.917998042,2025-01-02 13:03:59.917998042,2 - Alta,Aplicação,Sub A,lsin,CI-168,NOC N1,Monitoramento,SIM,NAO,Falha de Aplicação,Patch aplicado,5999.917998041189
INC100019,2025-01-02 09:52:00,2025-01-02 11:28:24.571244388,2025-01-02 13:07:24.571244388,3 - Média,Aplicação,Sub C,lhco,CI-359,NOC N1,Monitoramento,SIM,NAO,Falha de Aplicação,Patch aplicado,5784.57124438772
INC100020,2025-01-02 14:50:00,2025-01-02 16:21:30.389194164,2025-01-02 18:48:30.389194164,2 - Alta,Aplicação,Sub C,lhvp,CI-190,NOC N1,Monitoramento,SIM,SIM,Manutenção Programada,Ajuste de configuração,5490.389194165032
INC100021,2025-01-02 19:38:00,2025-01-02 21:22:06.582079992,2025-01-02 22:15:06.582079992,3 - Média,Banco de Dados,Sub B,lrev,CI-122,Suporte N3,Monitoramento,SIM,NAO,Manutenção Programada,Patch aplicado,6246.58207999305
INC100022,2025-01-02 22:53:00,2025-01-03 05:39:21.142249518,2025-01-03 07:03:21.142249518,3 - Média,Infraestrutura,Sub A,lsin,CI-363,Suporte N3,Monitoramento,SIM,NAO,Falha de Aplicação,Patch aplicado,24381.142249517212
INC100023,2025-01-03 06:01:00,2025-01-03 08:43:19.950812676,2025-01-03 11:40:19.950812676,4 - Baixa,Aplicação,Sub A,lcem,CI-207,Suporte N3,Monitoramento,NAO,NAO,Falha de Aplicação,Reinício de serviço,9739.950812674342
INC100024,2025-01-03 10:20:00,2025-01-03 11:00:10.498384602,2025-01-03 13:01:10.498384602,3 - Média,Banco de Dados,Sub B,lcem,CI-346,NOC N1,Monitoramento,SIM,NAO,Erro de Configuração,Patch aplicado,2410.4983846012697
INC100025,2025-01-03 13:34:00,2025-01-03 15:02:57.780530394,2025-01-03 18:40:57.780530394,4 - Baixa,Banco de Dados,Sub A,lhco,CI-255,NOC N2,Monitoramento,NAO,NAO,Falha de Rede,Patch aplicado,5337.780530396308
INC100026,2025-01-03 15:40:00,2025-01-03 16:41:33.034341774,2025-01-03 19:13:33.034341774,4 - Baixa,Banco de Dados,Sub C,lhvp,CI-143,NOC N2,Monitoramento,NAO,NAO,Manutenção Programada,Ajuste de configuração,3693.0343417721083
